idPaymentMethod,idCustomer,paymentMethodType,paymentDetails
1,493,visa-electron,4917892037279464
2,427,mastercard,5229898036987734
3,242,laser,6771002933274779412
4,312,diners-club-carte-blanche,30000580400574
5,44,jcb,3531401320523220
6,207,visa-electron,4175009779967415
7,195,switch,4936980165735436
8,53,jcb,3576713262446392
9,195,switch,633110571948169243
10,47,jcb,3574484756043176
11,488,laser,670670743713102485
12,248,jcb,3567926114614550
13,302,jcb,3588791538837145
14,362,jcb,3547892745494447
15,125,laser,63040588877199038
16,191,americanexpress,370392317738972
17,178,jcb,3583281347689239
18,228,diners-club-carte-blanche,30323991556523
19,103,jcb,3540761288281767
20,353,jcb,3534095660319434
21,457,solo,6334677070537274344
22,147,visa-electron,4508289997525926
23,447,jcb,3552034068231559
24,214,bankcard,5610286438903656
25,107,jcb,3550888301059370
26,114,jcb,3545796953431896
27,15,visa,4041598785867009
28,491,jcb,3535899633828317
29,144,china-unionpay,5602213399816756727
30,232,jcb,3572572482792876
31,69,bankcard,5602233244183073
32,39,jcb,3535941486679312
33,335,bankcard,5602237314555409
34,307,jcb,3583716435220942
35,272,bankcard,5610410271956882
36,490,jcb,3583868195848030
37,138,diners-club-us-ca,5506058077808919
38,100,jcb,3554190144337667
39,243,jcb,3574469561828119
40,123,jcb,3581139770456785
41,372,mastercard,5048374264435845
42,319,maestro,5038447692329236
43,299,jcb,3528334808644397
44,13,mastercard,5100171200718267
45,345,jcb,3566996167374940
46,119,china-unionpay,5602251202070058
47,374,jcb,3535177005082809
48,415,jcb,3552364910982194
49,231,americanexpress,337941460585564
50,276,jcb,3586685173946066
51,469,china-unionpay,56022387841182741
52,290,jcb,3565522995674599
53,92,mastercard,5100144002780959
54,109,mastercard,5010126519628382
55,467,switch,5641829395861170396
56,138,jcb,3567441800367265
57,17,jcb,3543320413531542
58,395,jcb,3589911792111206
59,461,maestro,67613643627511392
60,192,jcb,3543047253134679
61,335,visa-electron,4913038991844406
62,323,visa,4041591728539330
63,201,switch,633110248420247231
64,407,jcb,3578857476122352
65,407,mastercard,5007662784955667
66,164,jcb,3577527525822432
67,477,jcb,3556144592725962
68,262,maestro,6763798639075855
69,101,diners-club-international,36504710153288
70,387,jcb,3576507217164963
71,188,bankcard,5602241165840969
72,479,diners-club-carte-blanche,30183183899853
73,173,americanexpress,374283428023386
74,275,americanexpress,378037992186334
75,222,laser,6709517529765208727
76,252,switch,6331106640584318066
77,9,americanexpress,374288363233767
78,32,bankcard,5610630825899920
79,446,visa-electron,4508516063105849
80,307,laser,6706565210702011
81,109,diners-club-carte-blanche,30363580371330
82,403,switch,490345897864825027
83,342,maestro,6304986305029027
84,247,jcb,3589848463211602
85,209,jcb,3565358982221635
86,180,americanexpress,374288856214555
87,333,solo,633495345807370191
88,86,diners-club-enroute,201836839299173
89,472,maestro,675929909067348804
90,401,bankcard,5602254545690814
91,475,visa-electron,4917363380592903
92,133,diners-club-international,36953917526079
93,166,jcb,3539523200285117
94,155,jcb,3576676371315776
95,16,mastercard,5100134845151088
96,271,jcb,3553350775117819
97,496,jcb,3547279243141664
